variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
knn_adapt_k50_tau0p05_lam0p1,0.70906995,-0.00043566,0.82317878,0.88958644,0.60442215,-0.00049260,0.36151460,-0.00035876,0.47133175,-0.00459406,0.62885071,0.60297449,0.64825741,0.61053138,0.65045906,0.72836738
knn_adapt_k20_tau0p1_lam0p1,0.70906938,-0.00043623,0.82318879,0.88958588,0.60442927,-0.00048548,0.36152069,-0.00035267,0.47137995,-0.00454585,0.62878128,0.60296269,0.64845923,0.61052507,0.65044333,0.72831260
knn_adapt_k5_tau0p1_lam0p1,0.70906518,-0.00044043,0.82320777,0.88958635,0.60437629,-0.00053846,0.36150774,-0.00036562,0.47137031,-0.00455549,0.62874797,0.60273778,0.64835138,0.61053777,0.65043455,0.72831684
knn_adapt_k50_tau0p1_lam0p1,0.70906465,-0.00044097,0.82317215,0.88958552,0.60441886,-0.00049589,0.36152047,-0.00035289,0.47131246,-0.00461334,0.62884584,0.60299017,0.64823840,0.61050739,0.65046237,0.72836738
knn_adapt_k5_tau0p05_lam0p1,0.70906408,-0.00044153,0.82320720,0.88958605,0.60437489,-0.00053986,0.36150774,-0.00036562,0.47137031,-0.00455549,0.62873843,0.60273365,0.64835422,0.61053696,0.65043640,0.72831684
knn_adapt_k10_tau0p1_lam0p1,0.70905953,-0.00044608,0.82319949,0.88958368,0.60440313,-0.00051162,0.36150546,-0.00036791,0.47137513,-0.00455067,0.62881126,0.60281732,0.64839570,0.61052501,0.65044722,0.72831995
knn_adapt_k10_tau0p05_lam0p1,0.70905853,-0.00044709,0.82319857,0.88958312,0.60439731,-0.00051744,0.36150546,-0.00036791,0.47137513,-0.00455067,0.62878760,0.60281100,0.64839046,0.61052409,0.65044259,0.72831995
proto_adapt_tau0p1_lam0p4,0.70897096,-0.00053465,0.82311972,0.88958713,0.60438960,-0.00052515,0.36148834,-0.00038502,0.47015069,-0.00577511,0.62852975,0.60349327,0.64774836,0.61102188,0.65034450,0.72810111
knn_k5_tau0p1_lam0p05,0.70896490,-0.00054071,0.82373767,0.88943430,0.60436234,-0.00055242,0.36149942,-0.00037394,0.46786090,-0.00806490,0.62930541,0.60240457,0.64852425,0.60981217,0.65028735,0.72870319
knn_k5_tau0p05_lam0p05,0.70896397,-0.00054164,0.82373788,0.88943435,0.60435923,-0.00055552,0.36149942,-0.00037394,0.46786090,-0.00806490,0.62928540,0.60240433,0.64852992,0.60980687,0.65028548,0.72870319
knn_k50_tau0p05_lam0p05,0.70895967,-0.00054595,0.82370063,0.88943722,0.60439440,-0.00052035,0.36149805,-0.00037531,0.46780787,-0.00811793,0.62928015,0.60261451,0.64848382,0.60978249,0.65030532,0.72879646
knn_k50_tau0p1_lam0p05,0.70895780,-0.00054782,0.82369782,0.88943655,0.60439290,-0.00052185,0.36149321,-0.00038016,0.46781269,-0.00811311,0.62931009,0.60263497,0.64843012,0.60977222,0.65030331,0.72880637
knn_k20_tau0p1_lam0p05,0.70895352,-0.00055210,0.82370326,0.88943474,0.60439219,-0.00052256,0.36149934,-0.00037403,0.46787536,-0.00805044,0.62932191,0.60256894,0.64855216,0.60978512,0.65026676,0.72875109
knn_k10_tau0p1_lam0p05,0.70895346,-0.00055215,0.82372246,0.88943126,0.60439453,-0.00052023,0.36150358,-0.00036978,0.46787054,-0.00805526,0.62942693,0.60248966,0.64858622,0.60981352,0.65028132,0.72866044
knn_k20_tau0p05_lam0p05,0.70895199,-0.00055362,0.82370532,0.88943533,0.60439087,-0.00052388,0.36149578,-0.00037759,0.46787536,-0.00805044,0.62930647,0.60257437,0.64854452,0.60979681,0.65026707,0.72875109
knn_k10_tau0p05_lam0p05,0.70895183,-0.00055378,0.82372248,0.88943117,0.60438863,-0.00052613,0.36150358,-0.00036978,0.46787054,-0.00805526,0.62941230,0.60248073,0.64857051,0.60981407,0.65027875,0.72866044
